reach ID,average centerline length (km),total record length (years),average centerline sinuosity (*),width (m),observed cutoffs (count),cutoff unaffected average migration rate (m/yr),max nonlocal effect magnitude    (% difference),max duration (years),clustering flag (logical),upstream Lat,upstream Lon,downstream lat,downstream lon
1,333.5,34,2.3,131.1,3,0.9,1.1,5,1,-5.21,-71.99,-4.57,-71.43
2,88.6,35,2.1,115.8,2,3.1,0.3,4,0,-7.84,-70.05,-7.51,-70.06
6,143.8,33,3,127.6,7,5.8,2.3,12,1,-17.14,-64.47,-16.85,-64.78
C,72.1,35,1.9,79.9,7,2.4,3.5,8,1,-16.53,-65.44,-16.32,-65.25
E,252.4,35,2.2,111.4,6,1.2,0.5,4,1,-5.49,-70.44,-4.65,-70.24
J,26.5,34,2.2,71.7,3,3.3,1.5,4,1,-8.92,-73.73,-8.87,-73.83
K,189.3,35,2.2,78.9,4,0.6,0.5,10,0,-4.74,-69.62,-4.22,-69.15
P,235.4,34,2.6,198.9,4,1.1,0.6,2,0,-2.08,-74.82,-2.36,-74.11
V,131.3,35,2.1,123,7,3.3,1.5,6,0,-7.68,-70.57,-7.47,-70.1
