,ID,D,null_D,D95,D5
0,20,312626.7672,651840,375104.5325,282656.3671
0,21,402522.4184,646500,369615.9082,282832.9607
0,22,240457.6833,429048,248615.3653,187735.906
0,23,281946.8972,681480,390499.7657,297782.1111
0,24,240912.1964,549552,314824.6949,242495.1046
0,25,621994.8751,1194588,683482.3005,521872.3928
0,26,351011.5075,831672,469236.3717,366909.5388
0,27,236638.2464,549600,314508.4842,244014.532
0,28,381408.6939,835488,482032.5279,370751.2388
0,29,204735.4547,421560,242422.8604,185409.4475
0,30,288477.4435,666000,380922.0695,295770.2948
0,31,194478.6792,411192,238825.6963,181294.7313
0,32,332239.5775,529920,306579.4583,236929.4279
0,33,163968.8457,274656,163083.2162,116076.903
0,34,191583.1788,411192,238604.8498,179764.8577
0,35,267130.4104,549168,311844.9656,241622.4602
0,36,388358.5086,832032,473447.0987,366998.6539
0,37,210083.4819,400896,232110.2075,175475.5866
0,38,368136.9069,674400,385592.5845,295100.9008
0,39,251738.7791,558000,319201.9392,247068.8459
0,40,430122.6857,828288,473979.229,360432.3632
0,41,278001.159,558048,314404.539,244989.8133
0,42,426241.6498,833112,484043.5163,363482.7992
0,43,256722.7029,559248,318549.0425,249010.6577
0,44,399167.8127,821736,464602.5575,364070.5692
0,45,297693.6465,571248,331398.0383,251871.152
0,46,345821.3902,832176,471222.2862,368623.1194
0,47,230073.2626,542784,305916.5649,236751.6698
0,48,277060.6962,820584,468427.6185,361662.8278
0,49,469590.8567,957516,544708.9391,416842.3434
0,50,573737.4671,970788,560389.1675,417645.6105
0,51,422297.4814,810576,465883.6524,356687.3035
0,52,418733.6994,835920,469048.5011,367487.6628
0,53,507085.4825,803664,462817.2455,350243.4119
0,54,214423.8194,403704,233348.4775,174699.9122
0,55,239533.6411,411588,238585.8858,180506.7591
0,56,230032.6941,415152,238333.1168,180776.5595
0,57,241692.5303,405108,234091.5726,173484.1657
0,58,234572.4124,407268,233829.9508,176322.9168
0,59,243459.7689,416952,241844.7283,182248.7299
0,60,220791.6816,419508,241308.2372,181599.0431
0,61,210517.4177,407556,237744.3423,176513.2113
0,62,194543.0321,394956,227304.1262,169053.7606
0,63,213026.5496,402948,232679.9654,174414.6836
0,64,248123.9339,405360,237691.9224,173787.2583
0,65,249047.0863,417384,241382.2661,179467.7084
0,66,292477.5497,562944,323065.9154,247728.7774
