TABLE S1. INPUTS AND RESULTS FROM MODEL SIMULATIONS,,,,,,,
,Parameter,,,Result,,,
ID,M (relative difference ratio),tau (yr),kl (m/yr),D,Dnull,D95,D5
4,0,0,11.4,179750.2575,186508,252524.534,120660.8301
5,1,10,11.4,139485.1881,159240,223381.5929,107014.2055
6,3,10,11.4,216082.8766,163272,221325.4576,109723.2697
7,0,0,25,153674.2998,224384,286959.7517,182285.5929
8,1,10,22.7,73798.94615,83772,117912.5817,54843.32056
9,2,10,22.7,78526.19439,81960,113811.3482,52333.14658
11,3,5,22.7,98567.84722,83748,117342.503,56857.47824
12,3,10,22.7,125172.2766,85428,116464.0178,57659.4298
13,2,8,10,195644.4458,188328,260147.7263,122177.1721
14,1,8,10,84650.69089,184940,247715.7177,126452.1304
15,2,8,20,62858.43053,78300,112971.378,50145.59363
16,1,8,20,67843.92734,107424,146453.444,71697.0477
17,3,8,20,211819.0307,218976,281624.6442,175100.8389
18,2,6,20,64950.45807,81492,117125.353,50557.12629
19,1,6,20,106161.476,109264,148977.8888,71547.56663
20,2,8,30,113657.6386,129280,168474.9408,100881.8019
21,2.5,10,30,173678.2894,128220,172427.7474,100527.8933
22,2.5,10,45,100494.4576,85092,114290.0802,65774.38127
23,0,0,30,81616.20709,135160,180975.2214,100841.9602
24,0,0,45,78209.39329,108992,144366.449,86799.94079
25,0.5,10,20,203256.9824,236916,317637.2064,187660.0298
26,0.5,10,30,143585.9312,164952,214900.2299,130363.1936
27,0.5,10,45,84665.36594,108992,137827.801,89555.76348
28,1.5,8,30,145614.1559,165696,212259.9099,135172.9916
29,1.5,8,45,74506.74984,83604,110619.3398,62970.10662
30,1,8,30,125412.1972,132080,173870.6794,101579.449
31,1,8,45,58497.40279,81552,111798.7907,62389.09296
32,3,8,30,137357.1481,105104,140625.0713,81410.87604
33,3,8,45,65410.95881,54472,74591.05969,41577.91123
34,2,8,45,87506.73054,81552,106982.5921,59467.69554
35,2,6,45,94143.79917,108912,141045.8339,89459.83416
36,2,6,30,152667.4383,165024,211245.9401,134798.0109
37,3,6,45,83171.11022,79512,104878.6997,61126.64008
38,3,6,30,141331.8411,133760,175474.082,103101.4712
39,2,4,45,108697.3309,110672,141815.5124,86054.00875
40,2,4,30,181184.6032,164280,213442.9769,125475.1281
41,3,4,45,115652.9533,110672,140371.0907,90305.07374
42,3,4,30,171591.1944,165240,216690.7347,129872.3942
43,1,4,45,105356.7813,110912,141614.5673,89709.21523
44,1,4,30,143751.8436,162960,211752.6602,128456.7871
45,1,2,45,105078.7717,113296,148035.749,86898.22525
46,1,2,30,108346.5825,165048,213835.7221,134104.8299
47,2,2,45,75800.28676,107648,140215.527,85419.69106
48,2,2,30,103313.7821,162744,210715.7314,129956.3679
49,1.5,8,25,173502.7486,189896,247926.2938,150397.7526
50,2.5,8,25,264946.3965,192528,253217.9502,147774.7055
51,1.5,10,25,148658.8797,160752,212071.9534,122830.1663
52,2.5,10,25,168316.423,165792,213753.4577,132457.19
53,3,10,25,217006.8454,159384,211110.7099,121430.9094
54,2.7,9,40,79457.09923,80064,105223.5838,60007.74183
55,2.2,8.5,40,88871.56994,81624,107032.6038,62122.35377
56,3,8,40,101917.7612,82332,106896.2892,64337.08302
57,2.5,7,40,85322.06708,80352,105451.879,61309.93673
58,2.6,8.2,40,93927.70706,80772,105079.53,62946.26607
59,2.4,9,40,77044.95529,82692,109702.9899,65543.62554
60,3,6,40,91850.43385,83208,109305.6134,64171.43922
61,2.5,8,35,76808.35654,80832,109810.531,61608.65898
62,2.5,9,35,73342.28761,78324,102398.603,60117.29547
63,3,9,35,80323.91086,79908,107348.4799,62416.57775
64,3,7,35,100728.7724,80400,110067.0956,61917.05953
65,3,10,35,97087.56974,82788,109812.4275,64566.78711
66,3,8,35,115975.7147,111648,152032.5962,86415.23705
