TABLE S1. INPUTS AND RESULTS FROM MODEL SIMULATIONS,,,,,
ID,Paramater,,,Result,
,M (relative difference ratio),τ     (yr),kl    (m/yr),D,D*
4,0.00,0.00,11.40,-8957.25,-0.16
5,1.00,10.00,11.40,-22418.29,-0.47
6,3.00,10.00,11.40,55805.88,1.19
7,0.00,0.00,25.00,-72009.81,-1.39
8,1.00,10.00,22.70,-9140.55,-0.30
9,2.00,10.00,22.70,-1405.86,-0.05
11,3.00,5.00,22.70,12254.27,0.42
12,3.00,10.00,22.70,38763.62,1.34
13,2.00,8.00,10.00,2182.30,0.04
14,1.00,8.00,10.00,-102891.92,-1.81
15,2.00,8.00,20.00,-16307.77,-0.53
16,1.00,8.00,20.00,-41406.08,-1.15
17,3.00,8.00,20.00,-9996.43,-0.20
18,2.00,6.00,20.00,-18638.98,-0.57
19,1.00,6.00,20.00,-4129.70,-0.11
20,2.00,8.00,30.00,-17932.08,-0.05
21,2.50,10.00,30.00,42905.00,1.19
22,2.50,10.00,45.00,13541.08,0.57
23,0.00,0.00,30.00,-22685.99,-0.68
24,0.00,0.00,45.00,-32621.62,-1.20
25,0.50,10.00,20.00,-31071.56,-0.51
26,0.50,10.00,30.00,-22453.54,-0.54
27,0.50,10.00,45.00,-25924.47,-1.11
28,1.50,8.00,30.00,-22686.00,-0.59
29,1.50,8.00,45.00,-10190.95,-0.45
30,1.00,8.00,30.00,-9031.74,-0.25
31,1.00,8.00,45.00,-24039.76,-1.04
32,3.00,8.00,30.00,30604.59,1.06
33,3.00,8.00,45.00,11010.00,0.67
34,2.00,8.00,45.00,3823.10,0.17
35,2.00,6.00,45.00,-16353.18,-0.66
36,2.00,6.00,30.00,-13757.71,-0.38
37,3.00,6.00,45.00,2303.94,0.11
38,3.00,6.00,30.00,5007.91,0.15
39,2.00,4.00,45.00,-3809.91,-0.14
40,2.00,4.00,30.00,13889.06,0.34
41,3.00,4.00,45.00,3068.95,0.13
42,3.00,4.00,30.00,3364.66,0.08
43,1.00,4.00,45.00,-7614.15,-0.31
44,1.00,4.00,30.00,-18161.43,-0.45
45,1.00,2.00,45.00,-9831.93,-0.33
46,1.00,2.00,30.00,-59589.00,-1.57
47,2.00,2.00,45.00,-31034.84,-1.17
48,2.00,2.00,30.00,-61863.99,-1.57
49,1.50,8.00,25.00,-20071.60,-0.42
50,2.50,8.00,25.00,68840.71,1.32
51,1.50,10.00,25.00,-12910.19,-0.30
52,2.50,10.00,25.00,2289.16,0.06
53,3.00,10.00,25.00,54409.58,1.26
