ID,channel width [m],channel depth [m],number of cutoffs [*],cutoff critical distance [m],NE Bump [*],NE Duration [yr],MR [ch-w/yr],kl [m/yr],mean radii [m],years between cutoffs [yr],mean cutoff length [m],mean sinuosity [*],run time [yr],NE,clustered,regular,all,d
2,100,3.4,500,400,2,10,0.036135,6.6,394.03,13.22,5942.19,3.26,6610,136.2075368,38.45,-1592.87,-1554.42,-114983.56
4,100,3.4,500,400,1,1,0.062415,11.4,388.75,7.343,5598.21,2.97,3671.5,66.87607962,48.95,-914.15,-865.2,-8291.51
5,100,3.4,500,400,2,10,0.062415,11.4,388.88,6.728,5576.4,3.22,3364,145.4096001,25.11,-1019.23,-994.12,-22929.25
6,100,3.4,500,400,4,10,0.062415,11.4,388.08,6.676,5717.16,3.16,3338,300.4824824,670.86,-291.26,379.6,55277.75
7,100,3.4,500,400,1,1,0.1242825,22.7,400.29,3.998,5905.69,3.1,1999,65.07317535,9.25,-1057.44,-1048.19,-34564.63
8,100,3.4,500,400,2,10,0.1242825,22.7,394.03,3.757,5866.57,3.27,1878.5,137.5774326,4.55,-780.66,-776.11,-9936.89
9,100,3.4,500,400,3,10,0.1242825,22.7,392.21,3.7,5740.06,3.23,1850,205.0265508,186.96,-373.1,-186.14,-2484.78
10,100,3.4,500,400,2,15,0.1242825,22.7,393.03,3.6,5673.1,3.2,1800,138.8423886,2.2,-795.22,-793.02,1865.39
11,100,3.4,500,400,4,5,0.1242825,22.7,387.22,3.576,5864.83,3.31,1788,288.9961466,15.66,-644.65,-628.99,12085.02
12,100,3.4,500,400,4,10,0.1242825,22.7,390.73,3.255,5982.37,3.29,1627.5,323.8593286,707.11,-24.25,682.86,38578.6
13,100,3.4,500,400,3,8,0.05475,10,389.47,7.809,5652.2,3.26,3904.5,217.1417595,310.32,-283.82,26.5,3928.17
14,100,3.4,500,400,2,8,0.05475,10,388.51,7.944,5550.55,3.09,3972,139.7419436,0,-1379.44,-1379.44,-102036.86
15,100,3.4,500,400,3,8,0.1095,20,382.7,3.846,5483.28,3.01,1923,213.8564743,17.15,-657.88,-640.73,-16708.78
16,100,3.4,500,400,2,8,0.1095,20,392.85,4.065,5642.13,3.24,2032.5,138.797786,4.51,-1303.56,-1299.05,-41838.89
17,100,3.4,500,400,4,8,0.1095,20,389.23,3.587,5479.35,3.11,1793.5,305.5115696,923.5,-45.75,877.75,18488.31
18,100,3.4,500,400,3,6,0.1095,20,386.88,3.888,5707.25,3.17,1944,220.1871142,11.67,-868.89,-857.22,-19076.36
19,100,3.4,500,400,2,6,0.1095,20,396.56,4.271,5738.77,3.05,2135.5,1.404823226,,,-928.59,-4703.28
